lexeme,gen
instituteur,m
institutrice,f
instructeur,m
instrument,m
instrumental,m
instrumentation,f
insu,m
insuccès,m
insufflateur,m
insula,f
insularité,f
insulation,f
insulte,f
insulté,m
insultée,f
insulteur,m
insurgé,m
insurrection,f
intaille,f
intangibilité,f
intégrale,f
intégralisme,m
intégralité,f
intégrateur,m
intégration,f
intégrisme,m
intégrité,f
intellect,m
intellectualisation,f
intellectualisme,m
intellectuel-phare,m
intellectuelle,f
intelligence,f
intelligentsia,f
intelligibilité,f
intempérance,f
intempérie,f
intemporalité,f
intendance,f
intendant,m
intendante,f
intensification,f
intension,f
intensité,f
intentionnalité,f
inter-école,f
inter,m
interaction,f
interactivité,f
intercepteur,m
interception,f
intercesseur,m
intercession,f
interclasse,m
intercommunication,f
interconnexion,f
intercours,m
intercourse,f
interdépendance,f
interdit,m
interdite,f
intéressant,m
intéressé,m
intéressée,f
intéressement,m
intérêt,m
interface,f
interférence,f
interférométrie,f
interféron,m
intérieur,m
intérim,m
intériorisation,f
intériorité,f
interligne,m
interlocuteur,m
interlocutrice,f
interlope,m
intermède,m
intermezzo,m
intermission,f
intermittence,f
intermittent,m
intermittente,f
internat,m
internationale,f
internationalisation,f
internationalisme,m
interné,m
internement,m
interpellateur,m
interpellation,f
interpénétration,f
interphase,f
interpolateur,m
interpolation,f
interposition,f
interprétation,f
interpréteur,m
interrègne,m
interrelation,f
interrogateur,m
interrogatif,m
interrogation,f
interrogative,f
interrogatoire,m
interrogatrice,f
interrupteur,m
interruption,f
intersaison,f
intersection,f
intertitre,m
intervalle,m
intervenant,m
intervenante,f
interventionnisme,m
interversion,f
interview,f
interviewé,m
interviewer,m
intestat,m
intestin,m
inti,m
intifada,m
intimation,f
intimé,m
intimidateur,m
intimité,f
intolérance,f
intonation,f
intoxe,f
intoxication,f
intoxiqué,m
intoxiquée,f
intrados,f
intrait,m
intranet,m
intransigeance,f
intransitif,m
intrépidité,f
intrigant,m
intrigante,f
introducteur,m
introduction,f
introductrice,f
introït,m
intromission,f
intronisation,f
introspection,f
introversion,f
introverti,m
introvertie,f
intrus,m
intruse,f
intubation,f
intuitif,m
intuition,f
intuitive,f
intumescence,f
intussusception,f
inuit,f
inupik,m
inusabilité,f
inutilisation,f
inutilité,f
invagination,f
invalidation,f
invariance,f
invasion,f
invective,f
invendu,m
inventaire,m
invention,f
inventivité,f
inverseur,m
invertébré,m
investigateur,m
investigation,f
investigatrice,f
investissement,m
investisseur,m
investiture,f
inviolabilité,f
invisible piston,m
invite,f
invité,m
inviteur,m
invocation,f
involution,f
invraisemblance,f
invulnérabilité,f
iodoforme,m
iodure,m
ion,m
ionisation,f
ionosphère,f
iota,m
ipéca,m
ipomée,f
ippon,m
ipse,m
ira,f
irakien,m
iranienne,f
iridescence,f
iridium,m
iridologie,f
iris,m
irisation,f
irlandaise,f
ironie,f
ironisme,m
iroquois,m
irradiation,f
irrationalité,f
irréalisme,m
irréalité,f
irrecevabilité,f
irréel,m
irrégularité,f
irrégulier,m
irrégulière,f
irréligiosité,f
irrésolution,f
irrespect,m
irresponsabilité,f
irrévérence,f
irréversibilité,f
irrévocabilité,f
irrigateur,m
irrigation,f
irritabilité,f
irritant,m
irroration,f
irruption,f
isabelle,m
isatis,m
isba,f
ischémie,f
ischion,m
islamisme,m
islandais,m
ismaélien,m
ismaïlien,m
isme,m
isochronisme,m
isolant,m
isolateur,m
isolation,f
isolationnisme,m
isolé,m
isolement,m
isoloir,m
isoniazide,m
isorel,m
isotope,m
israélien,m
israélienne,f
issue,f
isthme,m
italianisme,m
italiano,m
italien,m
italienne,f
ite missa est,m
ithos,m
itinéraire,m
itinérant,m
iule,m
ivoire,m
ivoirienne,f
ivraie,f
ivrognerie,f
ivrognesse,f
j,m
jabadao,m
jabot,m
jacaranda,m
jacasse,f
jacasserie,f
jacasseur,m
jacasseuse,f
jacassier,m
jacassière,f
jachère,f
jacinthe,f
jack,m
jacket,f
jacob,m
jacobée,f
jacobin,m
jacot,m
jacqueline,f
jacquemart,m
jacquerie,f
jacquier,m
jactance,f
jacteur,m
jacuzzi,m
jaffe,f
jaguarondi,m
jaja,m
jalouse,f
jaloux,m
jam-session,f
jam,f
jamaïcain,m
jamaïcaine,f
jamais-vu,m
jambage,m
jambart,m
jambes,f
jambier,m
jambon,m
jambonneau,m
jamboree,m
jan,m
janissaire,m
jansénisme,m
janvier,m
japonais,m
japonaise,f
japonaiserie,f
japonerie,f
japonisant,m
jappeur,m
jaquelin,m
jar,m
jardin,m
jardinerie,f
jardinet,m
jardinière,f
jarre,f
jarret,m
jarretière,f
jas,m
jaseur,m
jasmin,m
jaspe,m
jaspin,m
jatte,f
jaunet,m
jaunisse,f
jaunissement,m
java,f
javel,f
javeline,f
javelot,m
javotte,f
jazz-band,m
jazz-rock,m
jazzman,m
je-m'en-foutisme,m
je-ne-sais-quoi,m
je,f
jean-le-blanc,m
jeanneton,f
jeannette,f
jeannot,m
jeep,f
jéjunum,m
jenny,f
jérémiade,f
jerez,m
jéroboam,m
jerrican,m
jersey,m
jésuite,m
jésuitière,f
jésus,m
jet society,f
jet-stream,m
jeté,m
jetée,f
jeteur,m
jeton,m
jeu-concours,m
jeu,m
jeudi,m
jeûne,m
jeunesse,f
jeunet,m
jeunette,f
jeûneur,m
jeunot,m
jigger,m
jingle,m
jinjin,m
joaillerie,f
joaillier,m
job,m
jobard,m
jobardise,f
jocko,m
jocrisse,m
jodhpur,m
jogger,m
joggeuse,f
jogging,m
johannisberg,m
joie,f
joint-venture,f
jojo,m
jojoba,m
jokari,m
joker,m
joli-coeur,m
joli-joli,m
joli,m
jolibois,m
joliesse,f
jonc,m
joncaille,f
jonchaie,f
joncheraie,f
jonchère,f
jonglage,m
jonglerie,f
jongleur,m
jongleuse,f
jonkheer,m
jonque,f
jonquille,f
jordanien,m
jordanienne,f
joseph,m
joubarbe,f
jouée,f
joueur,m
joueuse,f
joufflu,m
joug,m
jouissance,f
jouisseur,m
jouisseuse,f
joujou,m
joule,m
jour,m
journaleuse,f
journalier,m
journalière,f
journalisme,m
journée,f
joute,f
jouteur,m
jouteuse,f
jouvence,f
jouvencelle,f
jovialité,f
joyeuseté,f
joystick,m
juan,m
jubé,m
jubilation,f
jubilé,m
juchée,f
judaïcité,f
judaïsant,m
judaïsme,m
judaïté,f
judas,m
judéen,m
judéenne,f
judéité,f
judéo-christianisme,m
juge,m
jugé,m
jugeote,f
jugeur,m
jugulaire,f
juif,m
juive,f
jujube,m
jujubier,m
juke-box,m
julep,m
jules,m
julot,m
jumelage,m
jument,f
jumenterie,f
jumper,m
jumping,m
jungien,m
jungle,f
junker,m
junte,f
jupe-culotte,f
jupes-culotte,m
jupette,f
jupier,m
jurançon,m
jurassien,m
jurassique,m
juré,m
jurée,f
juridiction,f
jurisprudence,f
jusant,m
jusquiame,f
justaucorps,m
juste-milieu,m
juste,m
justesse,f
justicier,m
justicière,f
juvénilité,f
juxtaposition,f
k-way,m
kabuki,m
kaddisch,m
kafir,m
kaiser,m
kala-azar,m
kalachnikov,f
kali,m
kaliémie,f
kalpa,m
kamala,m
kami,m
kan,m
kandjar,m
kanji,m
kantisme,m
kaolin,m
kaori,m
kapok,m
kapokier,m
kaposi,m
kapout,m
kappa,m
karaoké,m
karaté,m
karité,m
kart,m
karting,m
kastro,m
kata,m
katal,m
katangais,m
katchina,m
katiba,f
kava,m
kayac,m
kazakh,m
kebab,m
kébour,m
keepsake,m
keffieh,m
kéfir,m
keiretsu,m
kekchose,f
kelvin,m
kendo,m
képi,m
kérabau,m
kératoplastie,f
kératose,f
kermesse,f
kérosène,m
kerrie,f
ket,m
ketch,m
ketchup,m
kevlar,m
khamsin,m
khat,m
khédive,m
kibboutz,m
kick,m
kicker,m
kief,m
kierkegaardienne,f
kiki,m
kilbus,m
kilim,m
kilogramme,m
kilohertz,m
kilométrage,m
kilomètre,m
kilomètres-heure,m
kilotonne,m
kilowattheure,m
kilt,m
kimono,m
kinase,f
kinescope,m
kinésique,f
kinésithérapie,f
kinesthésie,f
king-charles,m
kinnor,m
kino,m
kiosk,m
kip,m
kipper,m
kirghiz,m
kirsch,m
kitchenette,f
kiva,f
kiwi,m
kleenex,m
klystron,m
knicker,m
knickerbocker,m
knock-out,m
knout,m
koala,m
kobold,m
kodak,m
kodiak,m
kolatier,m
kolkhozien,m
kolkhozienne,f
komintern,m
kommandantur,f
komsomol,m
kopeck,m
koré,f
korè,f
korrigan,m
kosovar,m
kot,m
kouglof,m
koulak,m
kouros,m
kraal,m
kraft,m
kraken,m
kremlin,m
kreutzer,m
kriegspiel,m
krill,m
kriss,m
kroumir,m
krypton,m
ksar,m
kula,f
kumquat,m
kursaal,m
kuru,m
kvas,m
kyrie eleison,m
kyrielle,f
kyste,m
l-dopa,f
l',m
labbe,m
label,m
labeur,m
labo,m
laborantine,f
labour,m
labourage,m
laboureur,m
labrador,m
labre,m
labri,m
labyrinthe,m
lac,m
laçage,m
lacanien,m
lacédémonien,m
lacération,f
lâchage,m
lâcher,m
lâcheté,f
lâcheur,m
lâcheuse,f
lacis,m
laconisme,m
lacrima-christi,m
lactaire,m
lactate,m
lactation,f
lacune,f
lad,m
ladino,m
ladrerie,f
lady,f
lagan,m
laguiole,m
lai,m
laîche,f
laide,f
laideron,m
laideur,f
laie,f
lainage,m
laine,f
laineur,m
laineuse,f
lainier,m
lainière,f
laisse-la-moi,f
laissé-pour-compte,m
laisse,f
laissé,m
laissée,f
laisser-aller,m
laisser-faire,m
laissez-faire,m
laissez-passer,m
laitage,m
laitance,f
laite,f
laiterie,f
laitier,m
laitière,f
laiton,m
laitue,f
laïus,m
laize,f
lamaïsme,m
lamantin,m
lamartinienne,f
lambada,f
lambeau,m
lambel,m
lambi,m
lambic,m
lambin,m
lambrequin,m
lambris,m
lambrissage,m
lambrusque,f
lambswool,m
lame,f
lamedé,f
lamedu,m
lamelle,f
lamellibranche,m
lamie,f
laminage,m
laminaire,f
laminectomie,f
lampadaire,m
lamparo,m
lampas,m
lampe-phare,f
lampée,f
lampion,m
lampiste,m
lampisterie,f
lampon,m
lamproie,f
lampyre,m
lance-engins,m
lance-flamme,m
lance-flammes,m
lance-fusée,m
lance-grenade,m
lance-roquette,m
lance-torpille,m
lance-torpilles,m
lance,f
lancée,f
lancelot,m
lancer,m
lanceron,m
lancette,f
lanceuse,f
lancinance,f
lançon,m
land,m
landaise,f
landau,m
landaulet,m
lande,f
landerneau,m
landier,m
landing,m
landlord,m
landsturm,m
landwehr,f
langue,f
languedocien,m
langueur,f
lanière,f
lanoline,f
lansquine,f
lanterne-tempête,f
lanterne,f
lanternier,m
lanthane,m
lao,m
laotien,m
lap,m
lapalissade,f
laparoscopie,f
laparotomie,f
lapement,m
lapereau,m
lapidaire,m
lapidation,f
lapidification,f
lapin,m
lapine,f
lapinière,f
lapis,m
lapon,m
lapsus,m
laquais,m
larbinerie,f
larcin,m
lardage,m
lardeuss,m
lardu,m
largage,m
large,m
largesse,f
largeur,f
larghetto,m
largue,m
largueur,m
larigot,m
larme,f
larmichette,f
larmier,m
larmoiement,m
larron,m
larve,f
larvicide,m
laryngoscope,m
laryngoscopie,f
lasagne,f
lascivité,f
laser,m
lassitude,f
lasso,m
lasure,f
latence,f
latéralité,f
latérite,f
latex,m
laticlave,m
latin,m
latinisme,m
latinité,f
latino-américain,m
latino-américaine,f
latitude,f
lats,m
lattis,m
latvien,m
laude,f
lauréat,m
laurier-cerise,m
laurier-rose,m
laurier,m
lauze,f
lav,m
lavage,m
lavande,f
lavandin,m
lavasse,f
lave-auto,m
lave-glace,m
lave-linge,m
lave-mains,m
lave-pont,m
lave-vaisselle,m
lave,f
lavement,m
laveur,m
laveuse,f
lavis,m
lavoir,m
lavure,f
laxatif,m
laxité,f
layette,f
layon,m
lazaret,m
lazaro,m
lazingue,m
lé,m
leader,m
leasing,m
leben,m
léchage,m
lèche-botte,m
lèche-cul,m
lèche-vitrine,m
lèchefrite,f
lècherie,f
lécheur,m
lécheuse,f
lécithine,f
leçon,f
lecteur,m
lectorat,m
lectrice,f
lecture,f
légalisation,f
légalité,f
légat,m
légation,f
légende,f
légèreté,f
leghorn,f
légion,f
légionellose,f
légionnaire,m
législateur,m
législatif,m
législation,f
législative,f
législature,f
légitimation,f
légitimité,f
lego,m
légume,m
légumier,m
légumineuse,f
leishmaniose,f
lek,m
lem,m
lemming,m
lémur,m
lémurien,m
lendemain,m
lénification,f
léninisme,m
lente,f
lenteur,f
lenticule,f
lentille,f
léopard,m
lépidoptère,m
lépiote,f
lépontique,m
lèpre,f
lépreux,m
léprologie,f
léproserie,f
lepton,m
lérot,m
lesbianisme,m
lesbien,m
lèse-majesté,f
lésine,f
lésinerie,f
lésion,f
lessivage,m
lessive,f
lest,m
létalité,f
letchi,m
léthargie,f
lettone,f
lettrage,m
lettre-clé,f
lettre,f
lettré,m
lettreur,m
lettrine,f
leucémie,f
leucocyte,m
leucocytose,f
leucopénie,f
leucoplasie,f
leucose,f
leucotomie,f
leurre,m
lev,m
levant,m
levantine,f
levé,m
levée,f
leveur,m
leveuse,f
léviathan,m
levier,m
lévitation,f
lèvre,f
levreau,m
levrette,f
lévrier,m
lexie,f
lexique,m
lézard,m
lézarde,f
li,m
liage,m
liaison,f
liard,m
libanaise,f
libation,f
libeccio,m
libellé,m
libelle,m
libellule,f
liber,m
libera,m
libéral,m
libéralisation,f
libéralisme,m
libéralité,f
libérateur,m
libération,f
libératrice,f
libero,m
libertin,m
libertine,f
libido,f
librairie-papeterie,f
libre-arbitre,m
libre-échange,m
libre-penseur,m
libre-penseuse,f
libretto,m
libyen,m
lice,f
licéité,f
licence,f
licencié,m
liche,m
lichen,m
licier,m
licol,m
licorne,f
lido,m
lidocaïne,f
lie,f
lied,m
liège,m
lien,m
liesse,f
lieu-dit,m
lieu,m
lieue,f
lieur,m
lieuse,f
lieutenant-colonel,m
lieutenant-pilote,m
lieutenant,m
lièvre,m
lift,m
liftier,m
liftière,f
lifting,m
ligature,f
lignard,m
ligne,f
ligot,m
ligotage,m
ligue,f
ligueur,m
lilas,m
liliacée,f
lilium,m
lillois,m
lilloise,f
limace,f
limaille,f
liman,m
limerick,m
limette,f
limier,m
limite,f
limiteur,m
limogeage,m
limon,m
limonade,f
limonadier,m
limonaire,m
limonier,m
limonière,f
limoselle,f
limousine,f
limpidité,f
lin,m
linaire,f
lindor,m
line,f
linéaire,m
linéament,m
linga,m
lingala,m
lingam,m
linge,m
lingerie,f
lingot,m
lingotière,f
liniment,m
linoléum,m
linon,m
linotte,f
linotype,f
linteau,m
linter,m
lion,m
lipase,f
lipide,m
lipiodol,m
lipome,m
liposome,m
liposuccion,f
lipothymie,f
lippe,f
lippée,f
liquéfaction,f
liquette,f
liqueur,f
liquidambar,m
liquidateur,m
liquidation,f
liquide,m
liquor,m
lire,f
lirette,f
lis,m
lisant,m
liséré,m
liseré,m
liseron,m
liseuse,f
lisibilité,f
lisier,m
lissage,m
lissé,m
lisseur,m
liste,f
listel,m
listeria,f
listing,m
liston,m
lit-bateau,m
lit-divan,m
litanie,f
liteau,m
litée,f
literie,f
lithiase,f
lithium,m
litho,f
lithographie,f
lithosphère,f
lithotripsie,f
lithotriteur,m
lithuanien,m
litière,f
litorne,f
litote,f
litron,m
littéralité,f
littérateur,m
littérature,f
littoral,m
liturgie,f
livarot,m
livèche,f
livonienne,f
livraison,f
livre-cassette,m
livre-club,m
livret,m
livreur,m
livreuse,f
llano,m
lloyd,m
loader,m
lobby,m
lobbying,m
lobectomie,f
lobotomie,f
local,m
localisation,f
localité,f
locateur,m
location,f
locature,f
loch,m
lock-out,m
loco,m
locomobile,f
locomotion,f
locomotive,f
locomotrice,f
locus,m
locuste,f
locuteur,m
locution,f
locutrice,f
lof,m
loft,m
logarithme,m
logette,f
logeur,m
logeuse,f
loggia,f
logiciel,m
logicien,m
logicienne,f
login,m
logique,f
logis,m
logisticien,m
logistique,f
logo,m
logogriphe,m
logomachie,f
logorrhée,f
logos,m
logosphère,f
logothète,m
loi,f
lointain,m
loir,m
loisir,m
lokoum,m
lolita,f
lolo,m
lombalgie,f
lombarde,f
lombardo,m
lombes,f
lombostat,m
lombric,m
lompe,m
londrès,m
long-courrier,m
long-métrage,m
long,m
longane,m
longanimité,f
longeron,m
longévité,f
longicorne,m
longrine,f
longue-vue,f
longue,f
longuet,m
longueur,f
look,m
looping,m
looser,m
lopaille,f
lope,f
lopette,f
lopin,m
loquacité,f
loque,f
loquet,m
loqueteau,m
loran,m
lord-maire,m
lordose,f
lorette,f
lorgnette,f
lori,m
loriot,m
loris,m
lorrain,m
lorraine,f
loterie,f
lotier,m
lotion,f
lotissement,m
loto,m
lotte,f
lotus,m
louage,m
louangeur,m
loubard,m
loubarde,f
louche,f
louchebem,m
louchébème,m
louchement,m
louchet,m
loucheuse,f
louchon,m
louée,f
loueur,m
loueuse,f
loufiat,m
loufoquerie,f
louis,m
louise-bonne,f
louisianais,m
loukoum,m
louloute,f
loup-cervier,m
loup,m
loupé,m
loupiat,m
loupiot,m
loupiote,f
lourd,m
lourdaud,m
lourde,f
lourderie,f
lourdeur,f
loute,f
louve,f
louveteau,m
louvetier,m
louvoiement,m
loyauté,f
loyer,m
lsd,m
lubie,f
lubrification,f
luce,f
lucet,m
lucilie,f
lucite,f
lucre,m
luddite,m
ludion,m
lueur,f
luffa,m
luge,f
luger,m
luisant,m
lulu,m
lumen,m
lumignon,m
luminescence,f
luminosité,f
lump,m
lunaire,f
lunaison,f
lunch,m
lunche,m
lundi,m
lune,f
lunetier,m
lunetterie,f
lunule,f
lupanar,m
lupin,m
lur,m
lurex,m
lustrage,m
lustre,m
lustreur,m
lustreuse,f
lustucru,m
lut,m
luthéranisme,m
luthérianisme,m
lutherie,f
luthérien,m
luthérienne,f
lutin,m
lutrin,m
lutteur,m
lutteuse,f
luxation,f
luxembourgeois,m
luxuriance,f
luzerne,f
luzernière,f
lycanthrope,m
lycanthropie,f
lycaon,m
lycéen,m
lycéenne,f
lychee,m
lychnis,m
lycien,m
lycienne,f
lycoperdon,m
lycra,m
lymphangite,f
lymphatique,m
lymphatisme,m
lymphocyte,m
lymphocytose,f
lymphome,m
lymphopénie,f
lymphosarcome,m
lynch,m
lynchage,m
lyncheur,m
lynx,m
lyonnais,m
lysimaque,f
lysine,f
lysosome,m
m,m
ma-jong,m
maboule,f
macadam,m
macadamia,m
macareux,m
macaron,m
macaroni,m
macassar,m
maccarthysme,m
macchab,m
macchabée,m
macédoine,f
macédonien,m
macédonienne,f
macération,f
mâchage,m
machaon,m
mâche,f
mâchefer,m
machette,f
mâcheur,m
mâcheuse,f
machiavélisme,m
mâchicoulis,m
machin,m
machine-outil,f
machinerie,f
machinette,f
machino,m
machmètre,m
macho,m
mâchoire,f
mâchonnement,m
mâchouilleur,m
macis,m
maçon,m
maçonnerie,f
macre,f
macreuse,f
macrobiotique,f
macroclimat,m
macrocosme,m
macroéconomie,f
macrolide,m
macrophage,m
macula,f
maculage,m
maculation,f
maculature,f
macule,f
macumba,f
madapolam,m
madone,f
madrague,f
madre,m
madré,m
madrépore,m
madrier,m
madrigal,m
maelstrom,m
maelström,m
maestria,f
maestro,m
maffia,f
maffieux,m
maffiosi,m
mafioso,m
magasinage,m
magasinière,f
magazine,m
magenta,m
maghrébin,m
maghrébine,f
maghzen,m
magicien,m
magicienne,f
magie,f
magister,m
magistrate,f
magistrature,f
magma,m
magnan,m
magnanerie,f
magnanimité,f
magnésie,f
magnésium,m
magnétiseur,m
magnétiseuse,f
magnétisme,m
magnétite,f
magnétomètre,m
magnétophone,m
magnétoscope,m
magnétron,m
magnificat,m
magnificence,f
magnitude,f
magnolia,m
magot,m
magouille,f
magouilleur,m
magret,m
magyar,m
maharadja,m
mahatma,m
mahométan,m
mahonia,m
maïa,m
maid,f
maigrelet,m
maigrelette,f
maigreur,f
maigrichon,m
maigriot,m
mail-coach,m
mail,m
mail2,m
mailing,m
maillechort,m
mailloche,f
maillon,m
maillot,m
maillotin,m
main-courante,f
main-d'oeuvre,f
main,f
mainate,m
maincourantier,m
mainlevée,f
maintenance,f
mainteneur,m
maire,m
mairesse,f
mairie,f
maïs,m
maison-mère,f
maison,f
maisonnée,f
maisonnette,f
maître queux,m
maître-à-danser,m
maître-assistant,m
maître-autel,m
maître-chanteur,m
maître-chien,m
maître-coq,m
maître-nageur,m
maîtresse,f
maîtrise,f
maïzena,f
maja,f
majesté,f
majolique,f
major-général,m
majoral,m
majorat,m
majoration,f
majorette,f
majorité,f
maki,m
mal-aimé,m
mal-aimée,f
mal-baisé,m
mal-baisée,f
mal-pensant,m
mal,m
malachite,f
maladrerie,f
maladresse,f
maladroit,m
maladroite,f
malaga,m
malais,m
malaisien,m
malandrin,m
malapprise,f
malaventure,f
malaxeur,m
malchance,f
mâle,m
malédiction,f
maléfice,m
malencontre,f
malentendant,m
malfaisance,f
malfaiteur,m
malformation,f
malfrat,m
malherbe,f
malheur,m
malheureuse,f
malheureux,m
malhonnêteté,f
mali,m
malice,f
malien,m
malienne,f
malignité,f
malin,m
maline,f
malinké,m
malinois,m
malléabilité,f
malléole,f
mallette,f
mallophage,m
malm,m
malmenage,m
malnutrition,f
malotru,m
malouin,m
malpoli,m
malpropreté,f
malséance,f
malt,m
maltraitance,f
malus,m
malveillance,f
malveillant,m
malversation,f
malvoisie,m
mam,f
mam'selle,f
mamaliga,f
mamamouchi,m
maman,f
mamba,m
mambo,m
mamelon,m
mameluk,m
mamma,f
mammectomie,f
mammifère,m
mammographie,f
mammoplastie,f
mammouth,m
mamours,m
mana,m
manade,f
management,m
manager,m
manant,m
mancenillier,m
mancheron,m
manchette,f
manchot,m
manchote,f
mandant,m
mandarinier,m
mandat-carte,m
mandat-lettre,m
mandat-poste,m
mandat,m
mandatement,m
mandchou,m
mandé,m
mandement,m
mandoline,f
mandorle,f
mandragore,f
mandrill,m
mandrin,m
manducation,f
manécanterie,f
manège,m
mânes,m
manganèse,m
manganite,m
mange-disque,m
mange-tout,m
mangeaille,f
mangeoire,f
manger,m
mangerie,f
mangetout,m
mangeuse,f
mangrove,f
maniabilité,f
maniacodépressif,m
manichéisme,m
manie,f
maniérisme,m
manieuse,f
manif,f
manifestant,m
manifestation,f
manifeste,m
manifold,m
manille,f
manilleur,m
manillon,m
manioc,m
manipe,f
manipulation,f
manipulatrice,f
manipule,m
manitoba,m
manne,f
mannezingue,m
mannitol,m
manoeuvrabilité,f
manoeuvrier,m
manoeuvrière,f
manoir,m
manomètre,m
manouvrier,m
manque,m
manquement,m
mansard,m
mansion,f
mansuétude,f
manta,f
mante,f
mantelet,m
mantelure,f
mantille,f
mantique,f
manubrium,m
manuelle,f
manufacture,f
manufacturier,m
manuscrit,m
manutention,f
maoïsme,m
maori,m
maorie,f
mappemonde,f
maquereautage,m
maquereautin,m
maquerellage,m
maquerelle,f
maquignon,m
maquignonnage,m
maquillage,m
maquilleur,m
maquilleuse,f
maquisarde,f
mara,m
marabout,m
maraca,f
marae,m
maraîcher,m
maraîchère,f
marais,m
maranta,m
marante,f
marasme,m
marathonien,m
marathonienne,f
marâtre,f
maraudeur,m
maraudeuse,f
maravédis,m
marbrerie,f
marc,m
marcassin,m
marcel,m
marceline,f
marchand,m
marchandage,m
marchande,f
marchandeuse,f
marchandiseur,m
marché,m
marchepied,m
marcheur,m
marcotin,m
marcotte,f
marécage,m
maréchal-ferrant,m
maréchal,m
maréchalat,m
maréchale,f
maréchalerie,f
maréchaussée,f
marée,f
marelle,f
marengo,m
mareyeur,m
mareyeuse,f
margaux,m
margay,m
marge,f
margeuse,f
marginal,m
marginale,f
marginalité,f
margis,m
margotin,m
margoton,f
margouillis,m
margoulin,m
margraviat,m
marguerite,f
mari,m
mariage,m
marianne,f
marie-jeanne,f
marie-louise,f
marie-salope,f
marié,m
marieuse,f
marihuana,f
marimba,m
marin-pêcheur,m
marina,f
marinade,f
marinage,m
maringoin,m
marinier,m
marionnette,f
maritorne,f
marivaudage,m
marjolaine,f
mark,m
marker,m
marketing,m
marlin,m
marlou,m
marloupin,m
marloupinerie,f
marmaille,f
marmitage,m
marmitée,f
marmot,m
marmottage,m
marmotte,f
marmottement,m
marmouset,m
marne,f
marnière,f
marocain,m
marocaine,f
maroquinerie,f
maroquinier,m
marouette,f
maroufle,f
marquage,m
marque-page,m
marque,f
marquis,m
marquisat,m
marquise,f
marrade,f
marrane,m
marrant,m
marron,m
marronnier,m
mars,m
marsaule,m
marseillais,m
marseillaise,f
marsouin,m
marsupial,m
marsupilami,m
martagon,m
marteau-pilon,m
marteau-piqueur,m
marteau,m
martel,m
martelage,m
martelet,m
marteleur,m
martialité,f
martien,m
martienne,f
martin-pêcheur,m
martin,m
martini,m
martiniquaise,f
martre,f
martyr,m
martyrologe,m
marxisme-léninisme,m
maryland,m
mas,m
mascara,m
mascarade,f
mascaret,m
mascaron,m
mascarpone,m
masculinité,f
maser,m
maskinongé,m
masochisme,m
masquage,m
masque-espion,m
masque,m
mass media,m
massacreur,m
massage,m
masse,f
massé,m
massette,f
massicotier,m
massif,m
massivité,f
massue,f
mastaba,m
mastar,m
mastectomie,f
master,m
mastère,m
mastic,m
masticage,m
mastiff,m
mastite,f
mastodonte,m
mastroquet,m
masure,f
mat',m
mataf,m
match,m
matchiche,f
maté,m
matelas,m
matelassière,f
matelote,f
mater dolorosa,f
matérialisation,f
matérialisme,m
matérialité,f
matériau,m
matériel,m
maternage,m
maternalisme,m
maternelle,f
maternité,f
mateuse,f
mathématicien,m
mathématicienne,f
mathématique,f
maths,f
mathurin,m
mathusalem,m
matière,f
matin,m
mâtine,f
matité,f
matois,m
matoiserie,f
maton,m
matou,m
matraquage,m
matraque,f
matraqueur,m
matras,m
matriarcat,m
matriarche,f
matriochka,f
matrone,f
matte,f
maturation,f
mâture,f
maturité,f
maudit,m
mauresque,f
maurrassien,m
maurrassisme,m
mauser,m
mausolée,m
maussaderie,f
mauvais,m
mauvaiseté,f
mauviette,f
maxi,m
maximalisme,m
maxime,f
maximisation,f
maxiton,m
mayonnaise,f
mazagran,m
mazet,m
mazette,f
mazout,m
mazurka,f
mea culpa,m
méandre,m
méandrine,f
méat,m
mécanicien,m
mécanicienne,f
mécanique,f
mécanisation,f
mécanisme,m
mécano,m
mécénat,m
mécène,m
méchanceté,f
méchant,m
mèche,f
méchoui,m
mechta,f
mecklembourgeois,m
mécompte,m
méconduite,f
méconium,m
méconnaissance,f
méconnu,m
mécontent,m
mécontente,f
mécontentement,m
mécréance,f
mécréant,m
mecton,m
médaille,f
médaillé,m
médailleur,m
médaillon,m
médecin-chef,m
médecin-conseil,m
médecin-général,m
médecin-major,m
médecin,m
médecine-ball,m
médecine,f
media,f
média,m
médiane,f
médianoche,m
médiascope,m
médiastin,m
médiateur,m
médiation,f
médiatisation,f
médiator,m
médiatrice,f
médicalisation,f
médicament,m
médicamentation,f
médicastre,m
médication,f
medicine-ball,m
médina,f
médiocrité,f
médisance,f
médisant,m
médisante,f
méditant,m
méditatif,m
méditation,f
méditerranéen,m
méditerranéenne,f
medium,m
médiumnité,f
médius,m
médoc,m
médulla,f
méduse,f
méfait,m
méfiance,f
méfiant,m
méforme,f
mégacôlon,m
mégahertz,m
mégajoule,m
mégalithe,m
mégalomanie,f
mégalopole,f
mégalosaure,m
mégaphone,m
mégapole,f
mégaron,m
mégathérium,m
mégatonne,f
mégawatt,m
mégère,f
mégisserie,f
mégissier,m
mégot,m
mégotage,m
méhari,m
meilleure,f
méiose,f
méjugement,m
mélancolie,f
mélanésienne,f
mélange,m
mélangeur,m
mélanine,f
mélanome,m
mélasse,f
mélatonine,f
mêlé-cass,m
mêlé-casse,m
mêle-tout,m
mêlée,f
mélèze,m
méli-mélo,m
mélilot,m
