phon,gen
lavi,m
lavwaʁ,m
lavyʁ,f
laksatif,m
laksite,f
lEjɛt,f
lEjɔ̃,m
lazaʁɛ,m
lazaʁo,m
lazɛ̃g,m
le,m
lidœʁ,m
liziŋ,m
ləbɑ̃,m
lEʃaʒ,m
lɛʃbɔt,m
lɛʃky,m
lɛʃvitʁin,m
lɛʃəfʁit,f
lɛʃəʁi,f
lEʃøʁ,m
lEʃøz,f
lEsitin,f
ləsɔ̃,f
lEktœʁ,m
lEktOʁa,m
lEktʁis,f
lEktyʁ,f
lEgalizasjɔ̃,f
lEgalite,f
lEga,m
lEgasjɔ̃,f
lEʒɑ̃d,f
lEʒɛʁəte,f
lEgɔʁn,f
lEʒjɔ̃,f
lEʒjOnEloz,f
lEʒjOnɛʁ,m
lEʒislatœʁ,m
lEʒislatif,m
lEʒislasjɔ̃,f
lEʒislativ,f
lEʒislatyʁ,f
lEʒitimasjɔ̃,f
lEʒitimite,f
lEgo,m
lEgym,m
lEgymje,m
lEgyminøz,f
lɛʃmanjoz,f
lɛk,m
lɛm,m
lEmiŋ,m
lEmyʁ,m
lEmyʁjɛ̃,m
lɑ̃dəmɛ̃,m
lEnifikasjɔ̃,f
lEninizm,m
lɑ̃t,f
lɑ̃tœʁ,f
lɑ̃tikyl,f
lɑ̃tij,f
lEOpaʁ,m
lEpidOptɛʁ,m
lEpjɔt,f
lEpɔ̃tik,m
lɛpʁ,f
lEpʁø,m
lEpʁOlOʒi,f
lEpʁOzəʁi,f
lEptɔ̃,m
lEʁo,m
lEsbjanizm,m
lEzbjɛ̃,m
lɛzmaʒEste,f
lEzin,f
lEzinəʁi,f
lEzjɔ̃,f
lEsivaʒ,m
lEsiv,f
lɛst,m
lEtalite,f
lEtʃi,m
lEtaʁʒi,f
lEtɔn,f
lEtʁaʒ,m
lɛtʁəkle,f
lɛtʁ,f
lEtʁe,m
lEtʁœʁ,m
lɛtʁin,f
lØsEmi,f
lØkOsit,m
lØkOsitoz,f
lØkOpEni,f
lØkOplazi,f
lØkoz,f
lØkOtOmi,f
lœʁ,m
lɛv,m
ləvɑ̃,m
ləvɑ̃tin,f
ləve,m
ləve,f
ləvœʁ,m
ləvøz,f
lEvjatɑ̃,m
ləvje,m
lEvitasjɔ̃,f
lɛvʁ,f
ləvʁo,m
ləvʁɛt,f
lEvʁije,m
lEksi,f
lEksik,m
lEzaʁ,m
lEzaʁd,f
li,m
ljaʒ,m
ljEzɔ̃,f
ljaʁ,m
libanɛz,f
libasjɔ̃,f
libEksjo,m
libEle,m
libɛl,m
libElyl,f
libɛʁ,m
libEʁa,m
libEʁal,m
libEʁalizasjɔ̃,f
libEʁalizm,m
libEʁalite,f
libEʁatœʁ,m
libEʁasjɔ̃,f
libEʁatʁis,f
libEʁo,m
libɛʁtɛ̃,m
libɛʁtin,f
libido,f
libʁEʁipapEtəʁi,f
libʁaʁbitʁ,m
libʁEʃɑ̃ʒ,m
libʁəpɑ̃sœʁ,m
libʁəpɑ̃søz,f
libʁEto,m
libjɛ̃,m
lis,f
lisEite,f
lisɑ̃s,f
lisɑ̃sje,m
liʃ,m
likɛn,m
lisje,m
likɔl,m
likɔʁn,f
lido,m
lidOkain,f
li,f
lid,m
ljɛʒ,m
ljɛ̃,m
ljɛs,f
ljødi,m
ljø,m
ljø,f
ljœʁ,m
ljøz,f
ljØtənɑ̃kOlOnɛl,m
ljØtənɑ̃pilɔt,m
ljØtənɑ̃,m
ljɛvʁ,m
lift,m
liftje,m
liftjɛʁ,f
liftiŋ,m
ligatyʁ,f
liɲaʁ,m
liɲ,f
ligo,m
ligOtaʒ,m
lig,f
ligœʁ,m
lila,m
liljase,f
liljɔm,m
lilwa,m
lilwaz,f
limas,f
limaj,f
limɑ̃,m
liməʁik,m
limɛt,f
limje,m
limit,f
limitœʁ,m
limOʒaʒ,m
limɔ̃,m
limOnad,f
limOnadje,m
limOnɛʁ,m
limOnje,m
limOnjɛʁ,f
limOzɛl,f
limuzin,f
lɛ̃pidite,f
lɛ̃,m
linɛʁ,f
lɛ̃dɔʁ,m
lin,f
linEɛʁ,m
linEamɑ̃,m
linga,m
lingala,m
lingam,m
lɛ̃ʒ,m
lɛ̃ʒəʁi,f
lɛ̃go,m
lɛ̃gOtjɛʁ,f
linimɑ̃,m
linOlEɔm,m
linɔ̃,m
linɔt,f
linOtip,f
lɛ̃to,m
lintœʁ,m
ljɔ̃,m
lipaz,f
lipid,m
lipjOdɔl,m
lipom,m
lipOzom,m
lipOsysjɔ̃,f
lipOtimi,f
lip,f
lipe,f
likEfaksjɔ̃,f
likɛt,f
likœʁ,f
likidɑ̃baʁ,m
likidatœʁ,m
likidasjɔ̃,f
likid,m
likɔʁ,m
liʁ,f
liʁɛt,f
lis,m
lizɑ̃,m
lizEʁe,m
lizəʁe,m
lizəʁɔ̃,m
lizøz,f
lizibilite,f
lizje,m
lisaʒ,m
lise,m
lisœʁ,m
list,f
listɛl,m
listɛʁja,f
listiŋ,m
listɔ̃,m
libato,m
lidivɑ̃,m
litani,f
lito,m
lite,f
litəʁi,f
litjaz,f
litjɔm,m
lito,f
litOgʁafi,f
litOsfɛʁ,f
litOtʁipsi,f
litOtʁitœʁ,m
litɥanjɛ̃,m
litjɛʁ,f
litɔʁn,f
litɔt,f
litʁɔ̃,m
litEʁalite,f
litEʁatœʁ,m
litEʁatyʁ,f
litOʁal,m
lityʁʒi,f
livaʁo,m
livɛʃ,f
livOnjɛn,f
livʁEzɔ̃,f
livʁəkasɛt,m
livʁəklœb,m
livʁɛ,m
livʁœʁ,m
livʁøz,f
lanos,m
lɔjd,m
lOdœʁ,m
lObi,m
lObiiŋ,m
lObEktOmi,f
lObOtOmi,f
lOkal,m
lOkalizasjɔ̃,f
lOkalite,f
lOkatœʁ,m
lOkasjɔ̃,f
lOkatyʁ,f
lɔk,m
lOkawt,m
lOko,m
lOkOmObil,f
lOkOmOsjɔ̃,f
lOkOmOtiv,f
lOkOmOtʁis,f
lOkys,m
lOkyst,f
lOkytœʁ,m
lOkysjɔ̃,f
lOkytʁis,f
lɔf,m
lɔft,m
lOgaʁitm,m
lOʒɛt,f
lOʒœʁ,m
lOʒøz,f
lɔdʒja,f
lOʒisjɛl,m
lOʒisjɛ̃,m
lOʒisjɛn,f
lOgin,m
lOʒik,f
lOʒi,m
lOʒistisjɛ̃,m
lOʒistik,f
lOgo,m
lOgogʁif,m
lOgOmaʃi,f
lOgOʁe,f
lOgos,m
lOgOsfɛʁ,f
lOgOtɛt,m
lwa,f
lwɛ̃tɛ̃,m
lwaʁ,m
lwaziʁ,m
lOkum,m
lOlita,f
lOlo,m
lɔ̃balʒi,f
lɔ̃baʁd,f
lɔ̃baʁdo,m
#DEF#,f
lɔ̃bOsta,m
lɔ̃bʁik,m
lɔ̃p,m
lɔ̃dʁɛs,m
lɔ̃kuʁje,m
lɔ̃mEtʁaʒ,m
lɔ̃,m
lɔ̃gan,m
lɔ̃ganimite,f
lɔ̃ʒəʁɔ̃,m
lɔ̃ʒEvite,f
lɔ̃ʒikɔʁn,m
lɔ̃gʁin,f
lɔ̃gvy,f
lɔ̃g,f
lɔ̃gɛ,m
lɔ̃gœʁ,f
luk,m
lupiŋ,m
luzœʁ,m
lOpaj,f
lɔp,f
lOpɛt,f
lOpɛ̃,m
lOkasite,f
lɔk,f
lOkɛ,m
lɔkəto,m
lOʁɑ̃,m
lɔʁdmɛʁ,m
lɔʁdoz,f
lOʁɛt,f
lɔʁɲɛt,f
lOʁi,m
lOʁjo,m
lOʁis,m
lOʁɛ̃,m
lOʁɛn,f
lOtəʁi,f
lOtje,m
lOsjɔ̃,f
lOtisəmɑ̃,m
lOto,m
lɔt,f
lOtys,m
lwaʒ,m
lwɑ̃ʒœʁ,m
lubaʁ,m
lubaʁd,f
luʃ,f
lukEbɛm,m
luʃEbɛm,m
luʃəmɑ̃,m
luʃɛ,m
luʃøz,f
luʃɔ̃,m
lwe,f
lwœʁ,m
lwøz,f
lufja,m
lufɔkəʁi,f
lwi,m
lwizbɔn,f
luizjanɛ,m
lukum,m
lulut,f
lusɛʁvje,m
lu,m
lupe,m
lupja,m
lupjo,m
lupjɔt,f
luʁ,m
luʁdo,m
luʁd,f
luʁdəʁi,f
luʁdœʁ,f
lut,f
luv,f
luvəto,m
luvətje,m
luvwamɑ̃,m
lwajOte,f
lwaje,m
ɛlɛsde,m
lybi,f
lybʁifikasjɔ̃,f
lys,f
lysɛ,m
lysili,f
lysit,f
lykʁ,m
lydit,m
lydjɔ̃,m
lɥœʁ,f
lufa,m
lyʒ,f
lyʒe,m
lɥizɑ̃,m
lyly,m
lymɛn,m
lymiɲɔ̃,m
lyminEsɑ̃s,f
lyminOzite,f
lɛ̃p,m
lynɛʁ,f
lynEzɔ̃,f
lœnʃ,m
lœntʃ,m
lœ̃di,m
lyn,f
lynətje,m
lynɛtəʁi,f
lynyl,f
lypanaʁ,m
lypɛ̃,m
lyʁ,m
lyʁɛks,m
lystʁaʒ,m
lystʁ,m
lystʁœʁ,m
lystʁøz,f
lystykʁy,m
ly,m
lytEʁanizm,m
lytEʁjanizm,m
lytəʁi,f
lytEʁjɛ̃,m
lytEʁjɛn,f
lytɛ̃,m
lytʁɛ̃,m
lytœʁ,m
lytøz,f
lyksasjɔ̃,f
lyksɑ̃buʁʒwa,m
lyksyʁjɑ̃s,f
lyzɛʁn,f
lyzɛʁnjɛʁ,f
likɑ̃tʁɔp,m
likɑ̃tʁOpi,f
likaɔ̃,m
lisEɛ̃,m
lisEɛn,f
litʃi,m
liknis,m
lisjɛ̃,m
lisjɛn,f
likOpɛʁdɔ̃,m
likʁa,m
lɛ̃fɑ̃ʒit,f
lɛ̃fatik,m
lɛ̃fatizm,m
lɛ̃fosit,m
lɛ̃fOsitoz,f
lɛ̃fom,m
lɛ̃fOpEni,f
lɛ̃fOsaʁkom,m
lɛ̃ʃ,m
lɛ̃ʃaʒ,m
lɛ̃ʃœʁ,m
lɛ̃ks,m
ljOnɛ,m
lizimak,f
lizin,f
lizOzom,m
ɛm,m
maʒɔ̃ŋ,m
mabul,f
makadam,m
makadamja,m
makaʁø,m
makaʁɔ̃,m
makaʁOni,m
makasaʁ,m
makaʁtizm,m
makab,m
makabe,m
masEdwan,f
masEdOnjɛ̃,m
masEdOnjɛn,f
masEʁasjɔ̃,f
maʃaʒ,m
makaɔ̃,m
maʃ,f
maʃəfɛʁ,m
maʃɛt,f
maʃœʁ,m
maʃøz,f
makjavElizm,m
maʃikuli,m
maʃɛ̃,m
maʃinuti,f
maʃinəʁi,f
maʃinɛt,f
makino,m
makmɛtʁ,m
matʃo,m
maʃwaʁ,f
maʃɔnəmɑ̃,m
maʃujœʁ,m
masi,m
masɔ̃,m
masɔnəʁi,f
makʁ,f
makʁøz,f
makʁObjOtik,f
makʁoklima,m
makʁOkosm,m
makʁOEkOnOmi,f
makʁOlid,m
makʁOfaʒ,m
makyla,f
makylaʒ,m
makylasjɔ̃,f
makylatyʁ,f
makyl,f
makymba,f
madapOlam,m
madɔn,f
madʁag,f
madʁ,m
madʁe,m
madʁEpɔʁ,m
madʁije,m
madʁigal,m
malstʁɔm,m
mElstʁØm,m
maEstʁija,f
maistʁo,m
mafja,f
mafjø,m
mafjOzi,m
mafjOzo,m
magazinaʒ,m
magazinjɛʁ,f
magazin,m
maʒɛ̃ta,m
magʁEbɛ̃,m
magʁEbin,f
makzɛn,m
maʒisjɛ̃,m
maʒisjɛn,f
maʒi,f
maʒistɛʁ,m
maʒistʁat,f
maʒistʁatyʁ,f
magma,m
maɲɑ̃,m
maɲanəʁi,f
maɲanimite,f
maɲEzi,f
maɲEzjɔm,m
maɲEtizœʁ,m
maɲEtizøz,f
maɲEtizm,m
maɲEtit,f
maɲEtOmɛtʁ,m
maɲEtOfɔn,m
maɲEtOskɔp,m
maɲEtʁɔ̃,m
maɲifikat,m
maɲifisɑ̃s,f
maɲityd,f
maɲOlja,m
mago,m
maguj,f
magujœʁ,m
magʁɛ,m
magjaʁ,m
maaʁadʒa,m
maatma,m
maOmEtɑ̃,m
maOnja,m
maja,m
mɛd,f
mɛgʁəlɛ,m
mEgʁəlɛt,f
mEgʁœʁ,f
mEgʁiʃɔ̃,m
mEgʁijo,m
mɛlkotʃ,m
maj,m
mɛjl,m
mEjliŋ,m
majəʃɔʁ,m
majɔʃ,f
majɔ̃,m
majo,m
majOtɛ̃,m
mɛ̃kuʁɑ̃t,f
mɛ̃dœvʁ,f
mɛ̃,f
mEnat,m
mɛ̃kuʁɑ̃tje,m
mɛ̃ləve,f
mɛ̃tənɑ̃s,f
mɛ̃tənœʁ,m
mɛʁ,m
mEʁɛs,f
mEʁi,f
mais,m
mEzɔ̃mɛʁ,f
mEzɔ̃,f
mEzOne,f
mEzOnɛt,f
mɛtʁəkø,m
mɛtʁadɑ̃se,m
mɛtʁasistɑ̃,m
mɛtʁOtɛl,m
mɛtʁəʃɑ̃tœʁ,m
mɛtʁəʃjɛ̃,m
mɛtʁəkɔk,m
mɛtʁənaʒœʁ,m
mEtʁɛs,f
mEtʁiz,f
maizEna,f
maʒa,f
maʒEste,f
maʒOlik,f
maʒɔʁʒEnEʁal,m
maʒOʁal,m
maʒOʁa,m
maʒOʁasjɔ̃,f
maʒOʁɛt,f
maʒOʁite,f
maki,m
malEme,m
malEme,f
malbEze,m
malbEze,f
malpɑ̃sɑ̃,m
mal,m
malakit,f
maladʁəʁi,f
maladʁɛs,f
maladʁwa,m
maladʁwat,f
malaga,m
malɛ,m
malEzjɛ̃,m
malɑ̃dʁɛ̃,m
malapʁiz,f
malavɑ̃tyʁ,f
malaksœʁ,m
malʃɑ̃s,f
mal,m
malEdiksjɔ̃,f
malEfis,m
malɑ̃kɔ̃tʁ,f
malɑ̃tɑ̃dɑ̃,m
malfəzɑ̃s,f
malfEtœʁ,m
malfɔʁmasjɔ̃,f
malfʁa,m
malɛʁb,f
malœʁ,m
malØʁøz,f
malØʁø,m
malOnɛtəte,f
mali,m
malis,f
maljɛ̃,m
maljɛn,f
maliɲite,f
malɛ̃,m
malin,f
malɛ̃ke,m
malinwa,m
malEabilite,f
malEɔl,f
malɛt,f
malOfaʒ,m
malm,m
malmənaʒ,m
malnytʁisjɔ̃,f
malOtʁy,m
malwɛ̃,m
malpOli,m
malpʁɔpʁəte,f
malsEɑ̃s,f
malt,m
maltʁEtɑ̃s,f
malys,m
malvEjɑ̃s,f
malvEjɑ̃,m
malvɛʁsasjɔ̃,f
malvwazi,m
mam,f
mamzɛl,f
mamaliga,f
mamamuʃi,m
mamɑ̃,f
mɑ̃mba,m
mɑ̃mbo,m
maməlɔ̃,m
maməlyk,m
mamma,f
mamEktOmi,f
mamifɛʁ,m
mamOgʁafi,f
mamOplasti,f
mamut,m
#DEF#,m
mana,m
manad,f
manaʒəmɑ̃,m
manadʒœʁ,m
manɑ̃,m
mɑ̃sənije,m
mɑ̃ʃəʁɔ̃,m
mɑ̃ʃɛt,f
mɑ̃ʃo,m
mɑ̃ʃɔt,f
mɑ̃dɑ̃,m
mɑ̃daʁinje,m
mɑ̃dakaʁt,m
mɑ̃dalɛtʁ,m
mɑ̃dapɔst,m
mɑ̃da,m
mɑ̃datəmɑ̃,m
mɑ̃dʃu,m
mɑ̃de,m
mɑ̃dəmɑ̃,m
mɑ̃dOlin,f
mɑ̃dɔʁl,f
mɑ̃dʁagɔʁ,f
mɑ̃dʁil,m
mɑ̃dʁɛ̃,m
mɑ̃dykasjɔ̃,f
manEkɑ̃təʁi,f
manɛʒ,m
#DEF#,m
mɑ̃ganɛz,m
mɑ̃ganit,m
mɑ̃ʒdisk,m
mɑ̃ʒtu,m
mɑ̃ʒaj,f
mɑ̃ʒwaʁ,f
mɑ̃ʒe,m
mɑ̃ʒəʁi,f
mɑ̃ʒətu,m
mɑ̃ʒøz,f
mɑ̃gʁɔv,f
manjabilite,f
manjakOdEpʁEsif,m
manikEizm,m
mani,f
manjEʁizm,m
manjøz,f
manif,f
manifEstɑ̃,m
manifEstasjɔ̃,f
manifɛst,m
manifɔld,m
manij,f
manijœʁ,m
manijɔ̃,m
manjɔk,m
manip,f
manipylasjɔ̃,f
manipylatʁis,f
manipyl,m
manitOba,m
man,f
manəzɛ̃g,m
manitɔl,m
manØvʁabilite,f
manØvʁije,m
manØvʁijɛʁ,f
manwaʁ,m
manOmɛtʁ,m
manuvʁije,m
mɑ̃k,m
mɑ̃kəmɑ̃,m
mɑ̃saʁ,m
mɑ̃sjɔ̃,f
mɑ̃sɥEtyd,f
mɑ̃ta,f
mɑ̃t,f
mɑ̃təlɛ,m
mɑ̃təlyʁ,f
mɑ̃tij,f
mɑ̃tik,f
manybʁijɔm,m
manɥɛl,f
manyfaktyʁ,f
manyfaktyʁje,m
manyskʁi,m
manytɑ̃sjɔ̃,f
maOizm,m
maOʁi,m
maOʁi,f
mapəmɔ̃d,f
makəʁOtaʒ,m
makəʁOtɛ̃,m
makəʁElaʒ,m
makəʁɛl,f
makiɲɔ̃,m
makiɲOnaʒ,m
makijaʒ,m
makijœʁ,m
makijøz,f
makizaʁd,f
maʁa,m
maʁabu,m
maʁakas,f
maʁe,m
maʁEʃe,m
maʁEʃɛʁ,f
maʁɛ,m
maʁɑ̃ta,m
maʁɑ̃t,f
maʁasm,m
maʁatOnjɛ̃,m
maʁatOnjɛn,f
maʁatʁ,f
maʁOdœʁ,m
maʁOdøz,f
maʁavEdis,m
maʁbʁəʁi,f
maʁ,m
maʁkasɛ̃,m
maʁsɛl,m
maʁsəlin,f
maʁʃɑ̃,m
maʁʃɑ̃daʒ,m
maʁʃɑ̃d,f
maʁʃɑ̃døz,f
maʁʃɑ̃dizœʁ,m
maʁʃe,m
maʁʃəpje,m
maʁʃœʁ,m
maʁkOtɛ̃,m
maʁkɔt,f
maʁEkaʒ,m
maʁEʃalfEʁɑ̃,m
maʁEʃal,m
maʁEʃala,m
maʁEʃal,f
maʁEʃaləʁi,f
maʁEʃOse,f
maʁe,f
maʁɛl,f
maʁɛ̃go,m
maʁEjœʁ,m
maʁEjøz,f
maʁgo,m
maʁgɛ,m
maʁʒ,f
maʁʒøz,f
maʁʒinal,m
maʁʒinal,f
maʁʒinalite,f
maʁʒi,m
maʁgOtɛ̃,m
maʁgOtɔ̃,f
maʁguji,m
maʁgulɛ̃,m
maʁgʁavja,m
maʁgəʁit,f
maʁi,m
maʁjaʒ,m
maʁjan,f
maʁiʒan,f
maʁilwiz,f
maʁisalɔp,f
maʁje,m
maʁjøz,f
maʁiʁwana,f
maʁimba,m
maʁɛ̃pEʃœʁ,m
maʁina,f
maʁinad,f
maʁinaʒ,m
maʁɛ̃gwɛ̃,m
maʁinje,m
maʁjOnɛt,f
maʁitɔʁn,f
maʁivodaʒ,m
maʁʒOlɛn,f
maʁk,m
maʁkœʁ,m
maʁkEtiŋ,m
maʁlɛ̃,m
maʁlu,m
maʁlupɛ̃,m
maʁlupinəʁi,f
maʁmaj,f
maʁmitaʒ,m
maʁmite,f
maʁmo,m
maʁmOtaʒ,m
maʁmɔt,f
maʁmɔtəmɑ̃,m
maʁmusɛ,m
maʁn,f
maʁnjɛʁ,f
maʁOkɛ̃,m
maʁOkɛn,f
maʁOkinəʁi,f
maʁOkinje,m
maʁwɛt,f
maʁufl,f
maʁkaʒ,m
maʁkəpaʒ,m
maʁk,f
maʁki,m
maʁkiza,m
maʁkiz,f
maʁad,f
maʁan,m
maʁɑ̃,m
maʁɔ̃,m
maʁOnje,m
maʁs,m
maʁsol,m
maʁsEjɛ,m
maʁsEjɛz,f
maʁswɛ̃,m
maʁsypjal,m
maʁsypilami,m
maʁtagɔ̃,m
maʁtOpilɔ̃,m
maʁtOpikøʁ,m
maʁto,m
maʁtɛl,m
maʁtəlaʒ,m
maʁtəlɛ,m
maʁtəlœʁ,m
maʁsjalite,f
maʁsjɛ̃,m
maʁsjɛn,f
maʁtɛ̃pEʃœʁ,m
maʁtɛ̃,m
maʁtini,m
maʁtinikɛz,f
maʁtʁ,f
maʁtiʁ,m
maʁtiʁOlɔʒ,m
maʁksizmlEninizm,m
maʁilɑ̃d,m
ma,m
maskaʁa,m
maskaʁad,f
maskaʁɛ,m
maskaʁɔ̃,m
maskaʁpɔn,m
maskylinite,f
mazɛʁ,m
maskinɔ̃ʒe,m
mazOʃizm,m
maskaʒ,m
maskEspjɔ̃,m
mask,m
#DEF#,m
masakʁœʁ,m
masaʒ,m
mas,f
mase,m
masɛt,f
masikOtje,m
masif,m
masivite,f
masy,f
mastaba,m
mastaʁ,m
mastEktOmi,f
mastœʁ,m
mastɛʁ,m
mastik,m
mastikaʒ,m
mastif,m
mastit,f
mastOdɔ̃t,m
mastʁOkɛ,m
mazyʁ,f
mat,m
mataf,m
matʃ,m
matʃiʃ,f
mate,m
matəla,m
matəlasjɛʁ,f
matəlɔt,f
matɛʁdOlOʁOza,f
matEʁjalizasjɔ̃,f
matEʁjalizm,m
matEʁjalite,f
matEʁjo,m
matEʁjɛl,m
matɛʁnaʒ,m
matɛʁnalizm,m
matɛʁnɛl,f
matɛʁnite,f
matøz,f
matEmatisjɛ̃,m
matEmatisjɛn,f
matEmatik,f
#DEF#,f
matyʁɛ̃,m
matyzalɛm,m
matjɛʁ,f
matɛ̃,m
matin,f
matite,f
matwa,m
matwazəʁi,f
matɔ̃,m
matu,m
matʁakaʒ,m
matʁak,f
matʁakœʁ,m
matʁa,m
matʁijaʁka,m
matʁijaʁʃ,f
matʁiOʃka,f
matʁɔn,f
mat,f
matyʁasjɔ̃,f
matyʁ,f
matyʁite,f
modi,m
mOʁɛsk,f
mOʁasjɛ̃,m
mOʁasizm,m
mOzɛʁ,m
mOzOle,m
mOsadəʁi,f
mOvɛ,m
mOvEzəte,f
mOvjɛt,f
maksi,m
maksimalizm,m
maksim,f
maksimizasjɔ̃,f
maksitɔ̃,m
majOnɛz,f
mazagʁɑ̃,m
mazɛ,m
mazɛt,f
mazut,m
mazyʁka,f
mEakylpa,m
mEɑ̃dʁ,m
mEɑ̃dʁin,f
mEa,m
mEkanisjɛ̃,m
mEkanisjɛn,f
mEkanik,f
mEkanizasjɔ̃,f
mEkanizm,m
mEkano,m
mEsEna,m
mEsɛn,m
mEʃɑ̃səte,f
mEʃɑ̃,m
mɛʃ,f
mEʃwi,m
mEʃta,f
mEklɑ̃buʁʒwa,m
mEkɔ̃t,m
mEkɔ̃dɥit,f
mEkOnjɔm,m
mEkOnEsɑ̃s,f
mEkOny,m
mEkɔ̃tɑ̃,m
mEkɔ̃tɑ̃t,f
mEkɔ̃tɑ̃təmɑ̃,m
mEkʁEɑ̃s,f
mEkʁEɑ̃,m
mEktɔ̃,m
mEdaj,f
mEdaje,m
mEdajœʁ,m
mEdajɔ̃,m
mEdəsɛ̃ʃɛf,m
mEdəsɛ̃kɔ̃sɛj,m
mEdəsɛ̃gEnEʁal,m
mEdəsɛ̃maʒɔʁ,m
mEdəsɛ̃,m
mEdəsinbol,m
mEdəsin,f
mEdja,f
mEdja,m
mEdjan,f
mEdjanɔʃ,m
mEdjaskɔp,m
mEdjastɛ̃,m
mEdjatœʁ,m
mEdjasjɔ̃,f
mEdjatizasjɔ̃,f
mEdjatɔʁ,m
mEdjatʁis,f
mEdikalizasjɔ̃,f
mEdikamɑ̃,m
mEdikamɑ̃tasjɔ̃,f
mEdikastʁ,m
mEdikasjɔ̃,f
mEdisinbol,m
mEdina,f
mEdjOkʁite,f
mEdizɑ̃s,f
mEdizɑ̃,m
mEdizɑ̃t,f
mEditɑ̃,m
mEditatif,m
mEditasjɔ̃,f
mEditEʁanEɛ̃,m
mEditEʁanEɛn,f
mEdjɔm,m
mEdjɔmnite,f
mEdjys,m
mEdɔk,m
mEdyla,f
mEdyz,f
mEfɛ,m
mEfjɑ̃s,f
mEfjɑ̃,m
mEfɔʁm,f
mEgakOlɔ̃,m
mEgaɛʁts,m
mEgaʒul,m
mEgalit,m
mEgalOmani,f
mEgalOpɔl,f
mEgalOsɔʁ,m
mEgafɔn,m
mEgapɔl,f
mEgaʁɔ̃,m
mEgatEʁjɔm,m
mEgatɔn,f
mEgawat,m
mEʒɛʁ,f
mEʒisəʁi,f
mEʒisje,m
mEgo,m
mEgOtaʒ,m
mEaʁi,m
mEjœʁ,f
mEjoz,f
mEʒyʒəmɑ̃,m
mElɑ̃kOli,f
mElanEzjɛn,f
mElɑ̃ʒ,m
mElɑ̃ʒœʁ,m
mElanin,f
mElanom,m
mElas,f
mElatOnin,f
mElekas,m
mElEkas,m
mɛltu,m
mEle,f
mElɛz,m
mElimElo,m
mElilo,m
mElinit,f
mElis,f
mElifɛʁ,m
mElo,m
mElOdi,f
mElOdʁam,m
mElOpe,f
mɛltiŋpɔt,m
mɑ̃bʁan,f
mɑ̃bʁ,m
mEme,f
mEmɛ̃to,m
mEmɛʁ,f
mEmo,m
mEmOʁabilite,f
mEmOʁɑ̃dɔm,m
mEmOʁjal,m
mEmOʁizasjɔ̃,f
mənas,f
mEnad,f
mEnaʒ,m
mEnaʒəmɑ̃,m
mEnaʒe,m
mEnaʒɛʁ,f
mEnaʒəʁi,f
mɑ̃djɑ̃t,f
mɑ̃disite,f
mɑ̃digo,m
mɑ̃digɔt,f
məne,f
mEnɛs,f
mEnEstʁɛl,m
mənœʁ,m
məne,m
mEnadɛn,m
mEniʁ,m
mEnɛ̃ʒ,f
mEnɛ̃ʒjom,m
mEnɛ̃ʒit,f
mEnɛ̃gOkɔk,m
mEnisk,m
mEnOnit,m
mənɔ̃,m
mEnOpoz,f
mEnOʁa,f
mɑ̃sɔ̃ʒ,m
#DEF#,f
mɑ̃sɥɛl,m
mɑ̃syʁasjɔ̃,f
mɑ̃talite,f
mɑ̃təʁi,f
mɑ̃tœʁ,m
mɑ̃tøz,f
mɑ̃tɔl,m
mɑ̃tOle,m
mɑ̃tɔ̃,m
mɑ̃tOnɛ,m
mɛ̃tɔʁ,m
mɑ̃tyl,f
məny,m
mənɥɛ,m
mənɥiz,f
mənɥizəʁi,f
mEpla,m
mEpʁi,m
mEpʁiz,f
mɛʁkɑ̃tilizm,m
mɛʁkaptɑ̃,m
mɛʁsəʁi,f
mɛʁʃɑ̃dajziŋ,m
mɛʁsi,f
mɛʁsi,m
mɛʁsje,m
mɛʁkʁədi,m
mɛʁkyʁɛ,m
mɛʁkyʁjal,f
mɛʁkyʁOkʁom,m
mɛʁd,f
mɛʁduj,f
mɛʁgʁɑ̃,f
mɛʁgɛz,f
mEʁidjɛ̃,m
mEʁidjɛn,f
mEʁidjOnal,m
məʁɛ̃g,f
mEʁinos,m
məʁiz,f
mEʁit,m
mEʁitOkʁasi,f
mɛʁl,m
mɛʁlɑ̃,m
mɛʁlo,m
mɛʁlɛt,f
mɛʁlɛ̃,m
mɛʁly,m
mɛʁlyʃ,f
mEʁu,m
mEʁɛ̃,m
mɛʁvEjøz,f
mɛʁvEjø,m
mɛʁvEjOzite,f
mEza,f
mEzaljɑ̃s,f
mEzɑ̃ʒ,f
mEzavɑ̃tyʁ,f
mEskal,m
mEskalin,f
mEsklœ̃,m
mEzɑ̃sEfal,m
mEzɑ̃tɑ̃t,f
mEzɑ̃tɛʁ,m
mEzEstim,f
mEzɛ̃tEliʒɑ̃s,f
mEsmEʁizm,m
mEnil,m
mEzɔ̃,m
mEzOpOtamjɛ̃,m
mEzOpOtamjɛn,f
mEzOsfɛʁ,f
mEzOzOik,m
mEskinəʁi,f
mEsaʒ,m
mEsaʒe,m
mEsaʒɛʁ,f
mEsaʒəʁi,f
mEsEɑ̃s,f
mEsɛʁ,m
mEsjanizm,m
mEsidɔʁ,m
mEsi,m
#DEF#,m
mEsiʁ,m
mɛstʁ,m
məzyʁ,f
məzyʁɛt,f
məzyʁœʁ,m
məzyʁɔ̃,m
mEzyzaʒ,m
